org.mvel2.optimizers.impl.refl.collection.MapCreator	org.mvel2.compiler.Accessor	<org.mvel2.optimizers.impl.refl.collection.MapCreator: org.mvel2.compiler.Accessor[] keys>
org.mvel2.optimizers.impl.refl.collection.MapCreator	org.mvel2.compiler.Accessor	<org.mvel2.optimizers.impl.refl.collection.MapCreator: org.mvel2.compiler.Accessor[] vals>
java.nio.file.FileTreeWalker$EventType	java.nio.file.FileTreeWalker$EventType	<java.nio.file.FileTreeWalker$EventType: java.nio.file.FileTreeWalker$EventType[] $VALUES>
java.util.TreeMap$NavigableSubMap$DescendingSubMapKeyIterator	java.lang.Object	<java.util.TreeMap$NavigableSubMap$DescendingSubMapKeyIterator: java.util.TreeMap$NavigableSubMap this$0>
java.util.stream.SpinedBuffer$OfPrimitive	java.lang.Object	<java.util.stream.SpinedBuffer$OfPrimitive: java.lang.Object[] spine>
sun.util.logging.PlatformLogger$Level	java.lang.Object	<sun.util.logging.PlatformLogger$Level: sun.util.logging.PlatformLogger$Level[] $VALUES>
sun.util.logging.PlatformLogger$Level	sun.util.logging.PlatformLogger$Level	<sun.util.logging.PlatformLogger$Level: sun.util.logging.PlatformLogger$Level[] $VALUES>
sun.misc.ProxyGenerator$ConstantPool	java.lang.Object	<sun.misc.ProxyGenerator$ConstantPool: java.util.Map map>
java.util.concurrent.CopyOnWriteArrayList$COWIterator	java.lang.Object	<java.util.concurrent.CopyOnWriteArrayList$COWIterator: java.lang.Object[] snapshot>
java.util.ArraysParallelSortHelpers$FJObject$Merger	java.lang.Object	<java.util.ArraysParallelSortHelpers$FJObject$Merger: java.lang.Object[] a>
java.util.ArraysParallelSortHelpers$FJObject$Merger	java.lang.Object	<java.util.ArraysParallelSortHelpers$FJObject$Merger: java.lang.Object[] w>
java.util.ArrayList$SubList$1	java.lang.Object	<java.util.ArrayList$SubList$1: java.util.ArrayList$SubList this$1>
java.util.concurrent.ConcurrentHashMap$BulkTask	java.lang.Object	<java.util.concurrent.ConcurrentHashMap$BulkTask: java.util.concurrent.ConcurrentHashMap$Node[] tab>
java.util.HashMap$KeySet	java.lang.Object	<java.util.HashMap$KeySet: java.util.HashMap this$0>
javax.net.ssl.SSLEngineResult$HandshakeStatus	javax.net.ssl.SSLEngineResult$HandshakeStatus	<javax.net.ssl.SSLEngineResult$HandshakeStatus: javax.net.ssl.SSLEngineResult$HandshakeStatus[] $VALUES>
java.time.format.DateTimeFormatterBuilder$CompositePrinterParser	java.time.format.DateTimeFormatterBuilder$DateTimePrinterParser	<java.time.format.DateTimeFormatterBuilder$CompositePrinterParser: java.time.format.DateTimeFormatterBuilder$DateTimePrinterParser[] printerParsers>
java.util.Vector$VectorSpliterator	java.lang.Object	<java.util.Vector$VectorSpliterator: java.util.Vector list>
java.util.Vector$VectorSpliterator	java.lang.Object	<java.util.Vector$VectorSpliterator: java.lang.Object[] array>
java.lang.invoke.MethodHandleImpl	java.lang.Object	<java.lang.invoke.MethodHandleImpl: java.lang.Object[] NO_ARGS_ARRAY>
java.util.Collections$CheckedList$1	java.lang.Object	<java.util.Collections$CheckedList$1: java.util.Collections$CheckedList this$0>
java.nio.file.spi.FileSystemProvider	java.lang.Object	<java.nio.file.spi.FileSystemProvider: java.util.List installedProviders>
java.text.Collator	java.lang.Object	<java.text.Collator: java.util.concurrent.ConcurrentMap cache>
java.net.HttpCookie	java.lang.Object	<java.net.HttpCookie: java.util.Map assignors>
java.lang.invoke.SerializedLambda	java.lang.Object	<java.lang.invoke.SerializedLambda: java.lang.Object[] capturedArgs>
sun.util.locale.provider.SPILocaleProviderAdapter$CalendarDataProviderDelegate	java.util.spi.CalendarDataProvider	<sun.util.locale.provider.SPILocaleProviderAdapter$CalendarDataProviderDelegate: java.util.concurrent.ConcurrentMap map>
sun.nio.cs.FastCharsetProvider	java.nio.charset.spi.CharsetProvider	<sun.nio.cs.FastCharsetProvider: java.util.Map cache>
java.util.LinkedHashMap$LinkedHashIterator	java.lang.Object	<java.util.LinkedHashMap$LinkedHashIterator: java.util.LinkedHashMap this$0>
sun.misc.CompoundEnumeration	java.lang.Object	<sun.misc.CompoundEnumeration: java.util.Enumeration[] enums>
sun.misc.CompoundEnumeration	java.util.Enumeration	<sun.misc.CompoundEnumeration: java.util.Enumeration[] enums>
java.math.BigDecimal	java.math.BigDecimal	<java.math.BigDecimal: java.math.BigDecimal[] zeroThroughTen>
java.math.BigDecimal	java.math.BigDecimal	<java.math.BigDecimal: java.math.BigDecimal[] ZERO_SCALED_BY>
sun.misc.ProxyGenerator	sun.misc.ProxyGenerator	<sun.misc.ProxyGenerator: java.util.Map proxyMethods>
sun.misc.ProxyGenerator	sun.misc.ProxyGenerator	<sun.misc.ProxyGenerator: java.util.List methods>
sun.misc.ProxyGenerator	sun.misc.ProxyGenerator	<sun.misc.ProxyGenerator: java.util.List fields>
java.math.BigInteger	java.math.BigInteger	<java.math.BigInteger: java.math.BigInteger[] posConst>
