javafx.scene.control.Control$StyleableProperties	java.lang.Object	<javafx.scene.control.Control$StyleableProperties: java.util.List STYLEABLES>
com.sun.prism.impl.ps.BaseShaderContext$MaskType	com.sun.prism.impl.ps.BaseShaderContext$MaskType	<com.sun.prism.impl.ps.BaseShaderContext$MaskType: com.sun.prism.impl.ps.BaseShaderContext$MaskType[] $VALUES>
javafx.scene.control.TreeItemBuilder	java.lang.Object	<javafx.scene.control.TreeItemBuilder: java.util.Collection children>
com.sun.javafx.tk.quantum.SwipeGestureRecognizer$SwipeRecognitionState	com.sun.javafx.tk.quantum.SwipeGestureRecognizer$SwipeRecognitionState	<com.sun.javafx.tk.quantum.SwipeGestureRecognizer$SwipeRecognitionState: com.sun.javafx.tk.quantum.SwipeGestureRecognizer$SwipeRecognitionState[] $VALUES>
javafx.beans.property.SetPropertyBase$EmptyProperty	java.lang.Object	<javafx.beans.property.SetPropertyBase$EmptyProperty: javafx.beans.property.SetPropertyBase this$0>
javafx.scene.shape.DrawMode	javafx.scene.shape.DrawMode	<javafx.scene.shape.DrawMode: javafx.scene.shape.DrawMode[] $VALUES>
javafx.geometry.Pos	javafx.geometry.Pos	<javafx.geometry.Pos: javafx.geometry.Pos[] $VALUES>
javafx.scene.control.Control	javafx.css.Styleable	<javafx.scene.control.Control: java.util.List styleableProperties>
javafx.geometry.NodeOrientation	javafx.geometry.NodeOrientation	<javafx.geometry.NodeOrientation: javafx.geometry.NodeOrientation[] $VALUES>
javafx.beans.binding.Bindings$68	java.lang.Object	<javafx.beans.binding.Bindings$68: javafx.collections.ObservableList val$op>
com.sun.javafx.collections.NonIterableChange$SimpleRemovedChange	java.lang.Object	<com.sun.javafx.collections.NonIterableChange$SimpleRemovedChange: java.util.List removed>
javafx.beans.binding.Bindings$38	javafx.beans.Observable	<javafx.beans.binding.Bindings$38: javafx.beans.Observable[] val$dependencies>
javafx.scene.control.DialogPane$StyleableProperties	java.lang.Object	<javafx.scene.control.DialogPane$StyleableProperties: java.util.List STYLEABLES>
